,RMSE,MAE,R2
LinearRegression,16221.040790693221,12433.0,0.9907155879704752
Ridge,17114.50639564772,14779.333333333334,0.9896646371356469
Lasso,44036.533506283165,37393.416666666664,0.9315736740244811
Elastic Net,40123.36376103081,34116.833333333336,0.9431943356806158
SupportVectorRegression,16450.626690190256,13216.5,0.9904509126274672
DecisionTree,17715.90761622635,16968.833333333332,0.9889255086931941
RandomForest,17358.71798021578,14484.083333333334,0.9893675764764697
GradientBoost,15562.444765631566,13231.416666666666,0.9914542020818332
CatBoost,19296.64264623944,16056.25,0.9868610554054179
XGBoost,22730.366245766185,18379.166666666668,0.9817690273475503
LSTM,15529.542086509398,12382.916666666666,0.9914902995473568
ARIMA,14959.893467553917,11265.335748460755,0.9835642876205757
